entry_id,beacon_id,in_time,out_time,rpi_id
33431,93,2016-09-22 12:05:55,2016-09-22 12:06:16,rpi-00
33432,93,2016-09-22 12:06:03,2016-09-22 12:06:20,rpi-19
33433,93,2016-09-22 12:05:52,2016-09-22 12:06:27,rpi-02
33434,93,2016-09-22 12:06:28,2016-09-22 12:06:43,rpi-07
33435,93,2016-09-22 12:06:41,2016-09-22 12:06:44,rpi-09
33436,93,2016-09-22 12:06:37,2016-09-22 12:06:37,rpi-10
33437,93,2016-09-22 12:05:47,2016-09-22 12:06:57,rpi-21
33438,93,2016-09-22 12:07:41,2016-09-22 12:07:41,rpi-21
33439,93,2016-09-22 12:09:07,2016-09-22 12:09:07,rpi-21
33440,51,2016-09-22 12:10:09,2016-09-22 12:10:34,rpi-03
33441,93,2016-09-22 12:06:20,2016-09-22 12:10:45,rpi-06
33442,93,2016-09-22 12:11:16,2016-09-22 12:12:25,rpi-06
33443,93,2016-09-22 12:05:47,2016-09-22 12:12:28,rpi-03
33444,93,2016-09-22 12:05:50,2016-09-22 12:12:27,rpi-05
33445,93,2016-09-22 12:15:01,2016-09-22 12:15:01,rpi-21
33446,93,2016-09-22 12:14:57,2016-09-22 12:15:16,rpi-06
33447,93,2016-09-22 12:15:58,2016-09-22 12:16:00,rpi-06
33448,93,2016-09-22 12:15:51,2016-09-22 12:16:04,rpi-21
33449,93,2016-09-22 12:17:34,2016-09-22 12:18:05,rpi-21
33450,93,2016-09-22 12:18:51,2016-09-22 12:20:19,rpi-21
33451,93,2016-09-22 12:20:54,2016-09-22 12:20:56,rpi-21
33452,93,2016-09-22 12:21:34,2016-09-22 12:21:34,rpi-21
33453,93,2016-09-22 12:22:08,2016-09-22 12:22:23,rpi-21
33454,93,2016-09-22 12:22:54,2016-09-22 12:22:54,rpi-21
33455,93,2016-09-22 12:17:35,2016-09-22 12:23:23,rpi-06
33456,93,2016-09-22 12:23:50,2016-09-22 12:23:50,rpi-06
